ANO  USIN    JAN    FEV    MAR    ABR    MAI    JUN    JUL    AGO    SET    OUT    NOV    DEZ
XXXX  XXX XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X XXXX.X
2024   11  -0.18  -0.18  -1.54  -2.31  -2.00  -3.65  -3.88  -3.06  -3.95  -0.76  -0.69  -0.18    1     
2025   11  -0.18  -0.18  -1.57  -2.36  -2.05  -3.73  -3.97  -3.14  -4.04  -0.78  -0.70  -0.18    1     
2026   11  -0.18  -0.18  -1.61  -2.42  -2.10  -3.82  -4.07  -3.21  -4.14  -0.80  -0.72  -0.18    1     
2022   12   0.00   0.00   0.00   0.00   0.00 -14.36 -15.19 -13.01 -15.89  -4.27  -5.07  -1.43    1     Usos_Consuntivos - P. COLOMBIA
2023   12  -1.57  -1.43  -5.77  -8.80  -8.96 -14.72 -15.57 -13.34 -16.29  -4.36  -5.19  -1.45    1     
2024   12  -1.59  -1.45  -5.90  -9.01  -9.17 -15.08 -15.95 -13.66 -16.69  -4.46  -5.30  -1.47    1     
2025   12  -1.62  -1.47  -6.03  -9.22  -9.38 -15.44 -16.34 -13.99 -17.09  -4.55  -5.42  -1.49    1     
2026   12  -1.64  -1.49  -6.16  -9.43  -9.59 -15.80 -16.72 -14.31 -17.49  -4.64  -5.53  -1.51    1     
2022   14   0.00   0.00   0.00   0.00   0.00  -1.99  -2.08  -1.64  -1.40  -0.40  -1.23  -0.40    1     Usos_Consuntivos - CACONDE
2023   14  -0.40  -0.40  -0.59  -1.13  -0.44  -2.04  -2.13  -1.68  -1.43  -0.41  -1.26  -0.41    1     
2024   14  -0.41  -0.41  -0.60  -1.15  -0.44  -2.08  -2.18  -1.72  -1.46  -0.41  -1.29  -0.41    1     
2025   14  -0.41  -0.41  -0.60  -1.18  -0.45  -2.13  -2.23  -1.75  -1.49  -0.42  -1.31  -0.42    1     
2026   14  -0.42  -0.42  -0.61  -1.20  -0.46  -2.17  -2.27  -1.79  -1.52  -0.42  -1.34  -0.42    1     
2022   15   0.00   0.00   0.00   0.00   0.00  -2.92  -3.17  -2.58  -2.86  -0.28  -1.07  -0.27    1     Usos_Consuntivos - E. DA CUNHA
2023   15  -0.27  -0.27  -1.22  -1.97  -0.74  -2.99  -3.25  -2.64  -2.93  -0.28  -1.10  -0.27    1     
2024   15  -0.27  -0.27  -1.24  -2.01  -0.76  -3.06  -3.33  -2.71  -3.00  -0.28  -1.12  -0.27    1     
2025   15  -0.27  -0.27  -1.27  -2.06  -0.77  -3.13  -3.41  -2.77  -3.08  -0.29  -1.15  -0.27    1     
2026   15  -0.27  -0.27  -1.30  -2.11  -0.79  -3.21  -3.48  -2.84  -3.15  -0.29  -1.17  -0.28    1     
2022   16   0.00   0.00   0.00   0.00   0.00  -0.17  -0.19  -0.16  -0.18  -0.01  -0.06  -0.01    1     Usos_Consuntivos - A.S.OLIVEIRA
2023   16  -0.01  -0.01  -0.09  -0.12  -0.05  -0.17  -0.19  -0.16  -0.18  -0.01  -0.06  -0.01    1     
2024   16  -0.01  -0.01  -0.09  -0.12  -0.05  -0.18  -0.20  -0.16  -0.18  -0.01  -0.06  -0.01    1     
2025   16  -0.01  -0.01  -0.09  -0.12  -0.05  -0.18  -0.20  -0.17  -0.19  -0.01  -0.06  -0.01    1     
2026   16  -0.01  -0.01  -0.10  -0.13  -0.05  -0.19  -0.21  -0.17  -0.19  -0.01  -0.06  -0.01    1     
2022   17   0.00   0.00   0.00   0.00   0.00 -74.24 -80.36 -71.21 -79.76 -18.92 -43.03  -6.25    1     Usos_Consuntivos - MARIMBONDO
2023   17  -9.30  -6.26 -24.46 -51.96 -33.91 -76.11 -82.39 -73.00 -81.78 -19.33 -44.08  -6.33    1     
2024   17  -9.45  -6.34 -25.00 -53.21 -34.70 -77.98 -84.42 -74.79 -83.79 -19.74 -45.12  -6.41    1     
2025   17  -9.61  -6.42 -25.55 -54.46 -35.49 -79.85 -86.45 -76.58 -85.81 -20.16 -46.17  -6.49    1     
2026   17  -9.77  -6.50 -26.09 -55.71 -36.28 -81.72 -88.48 -78.37 -87.82 -20.57 -47.22  -6.57    1     
2022   18   0.00   0.00   0.00   0.00   0.00 -14.34 -15.40 -11.86 -15.04  -5.32  -8.67  -2.52    1     Usos_Consuntivos - A. VERMELHA
2023   18  -3.52  -2.52  -3.06  -9.16  -9.42 -14.68 -15.76 -12.13 -15.40  -5.42  -8.85  -2.55    1     
2024   18  -3.57  -2.55  -3.10  -9.36  -9.62 -15.02 -16.13 -12.41 -15.76  -5.52  -9.04  -2.58    1     
2025   18  -3.62  -2.57  -3.14  -9.56  -9.82 -15.36 -16.50 -12.68 -16.11  -5.62  -9.23  -2.60    1     
2026   18  -3.68  -2.60  -3.19  -9.75 -10.03 -15.69 -16.86 -12.95 -16.47  -5.72  -9.42  -2.63    1     
2022   20   0.00   0.00   0.00   0.00   0.00  -5.81  -6.32  -6.28  -6.62  -0.87  -0.12  -0.12    1     Usos_Consuntivos - BATALHA
2023   20  -0.12  -0.12  -2.10  -3.95  -4.26  -6.12  -6.66  -6.61  -6.98  -0.92  -0.12  -0.12    1     
2024   20  -0.12  -0.12  -2.20  -4.15  -4.47  -6.44  -7.00  -6.95  -7.33  -0.96  -0.12  -0.12    1     
2025   20  -0.12  -0.12  -2.30  -4.35  -4.69  -6.75  -7.34  -7.29  -7.69  -1.00  -0.12  -0.12    1     
