NUM   TIPO   MODIF  MI ANOI MF ANOF
XXXX XXXXX XXXXXXXX XX XXXX XX XXXX
 245 POTEF   258.64  8 2022 12 2025  KARKEY 013
 245 GTMIN    48.98  8 2022 12 2025  
 245 IPTER     0.40  1 2023  1 2023  
 245 IPTER     0.00  2 2023  8 2023  
 245 IPTER     6.25  9 2023  9 2023  
 245 IPTER     0.00 10 2023 11 2023  
 245 IPTER     6.05 12 2023 12 2023  
 245 IPTER     0.40  1 2024  1 2024  
 245 IPTER     0.00  2 2024  8 2024  
 245 IPTER     6.25  9 2024  9 2024  
 245 IPTER     0.00 10 2024 11 2024  
 245 IPTER     6.05 12 2024 12 2024  
 245 IPTER     0.40  1 2025  1 2025  
 245 IPTER     0.00  2 2025  8 2025  
 245 IPTER     6.25  9 2025  9 2025  
 245 IPTER     0.00 10 2025 11 2025  
 245 IPTER     6.05 12 2025 12 2025  
 246 POTEF   115.92  8 2022 12 2025  KARKEY 019
 246 GTMIN   110.43  8 2022 10 2022  
 246 GTMIN    11.04 11 2022  5 2023  
 246 IPTER     0.00  1 2023  2 2023  
 246 IPTER     6.12  3 2023  3 2023  
 246 IPTER     0.17  4 2023  4 2023  
 246 IPTER     0.00  5 2023 10 2023  
 246 GTMIN   110.43  6 2023 10 2023  
 246 IPTER     6.49 11 2023 11 2023  
 246 GTMIN    11.04 11 2023  5 2024  
 246 IPTER     0.00 12 2023  2 2024  
 246 IPTER     6.12  3 2024  3 2024  
 246 IPTER     0.17  4 2024  4 2024  
 246 IPTER     0.00  5 2024 10 2024  
 246 GTMIN   110.43  6 2024 10 2024  
 246 IPTER     6.49 11 2024 11 2024  
 246 GTMIN    11.04 11 2024  5 2025  
 246 IPTER     0.00 12 2024  2 2025  
 246 IPTER     6.12  3 2025  3 2025  
 246 IPTER     0.17  4 2025  4 2025  
 246 IPTER     0.00  5 2025 10 2025  
 246 GTMIN   110.43  6 2025 10 2025  
 246 IPTER     6.49 11 2025 11 2025  
 246 GTMIN    11.04 11 2025 12 2025  
 246 IPTER     0.00 12 2025 12 2025  
  15 POTEF   204.00  6 2022  6 2026  LINHARES
  15 FCMAX   100.00  6 2022  6 2026  
  15 TEIFT     0.00  6 2022  9 2022  
  15 IPTER    13.71  1 2023  1 2023  
  15 IPTER    12.50  2 2023  2 2023  
  15 IPTER    13.71  3 2023  3 2023  
  15 IPTER    17.50  4 2023  4 2023  
  15 IPTER    16.94  5 2023  5 2023  
  15 IPTER    17.50  6 2023  6 2023  
  15 IPTER    13.71  7 2023  8 2023  
  15 IPTER    13.33  9 2023  9 2023  
  15 IPTER    13.71 10 2023 10 2023  
  15 IPTER    14.17 11 2023 11 2023  
  15 IPTER     0.00 12 2023  9 2024  
  15 IPTER     9.68 10 2024 10 2024  
  15 IPTER    13.33 11 2024 11 2024  
  15 IPTER    13.71 12 2024 12 2024  
  15 IPTER    14.52  1 2025  1 2025  
  15 IPTER    18.75  2 2025  2 2025  
  15 IPTER    16.94  3 2025  3 2025  
  15 IPTER    15.00  4 2025  4 2025  
  15 IPTER    13.71  5 2025  5 2025  
  15 IPTER    13.33  6 2025  6 2025  
  15 IPTER    13.71  7 2025  8 2025  
  15 IPTER    16.67  9 2025  9 2025  
  15 IPTER    16.94 10 2025 10 2025  
  15 IPTER    17.50 11 2025 11 2025  
  15 IPTER    14.52 12 2025 12 2025  
  15 IPTER    13.71  1 2026  1 2026  
  15 IPTER    12.50  2 2026  2 2026  
  15 IPTER    13.71  3 2026  3 2026  
  15 IPTER    15.00  4 2026  4 2026  
  15 IPTER    16.94  5 2026  5 2026  
  15 IPTER    17.50  6 2026  6 2026  
 257 POTEF   204.00  7 2026          LINHARES LRC
 247 POTEF    36.00  8 2022 12 2025  LINHARES PCS
 247 GTMIN    34.57  8 2022  8 2022  
 247 GTMIN    33.34  9 2022  9 2022  
 247 GTMIN    34.52 10 2022 10 2022  
 247 GTMIN    34.57 11 2022 11 2022  
 247 GTMIN    32.83 12 2022 12 2022  
 247 IPTER     0.00  1 2023  2 2023  
 247 GTMIN    34.57  1 2023  2 2023  
 247 IPTER     6.45  3 2023  3 2023  
 247 GTMIN    32.83  3 2023  3 2023  
 247 IPTER     0.00  4 2023  4 2023  
 247 GTMIN    34.57  4 2023  4 2023  
 247 IPTER     2.42  5 2023  5 2023  
 247 GTMIN    34.24  5 2023  5 2023  
 247 IPTER     7.50  6 2023  6 2023  
 247 GTMIN    32.46  6 2023  6 2023  
 247 IPTER     0.00  7 2023  7 2023  
 247 GTMIN    34.57  7 2023  7 2023  
 247 IPTER     3.23  8 2023  8 2023  
 247 GTMIN    33.96  8 2023  8 2023  
 247 IPTER     3.33  9 2023  9 2023  
 247 GTMIN    33.92  9 2023  9 2023  
 247 IPTER     0.00 10 2023 10 2023  
 247 GTMIN    34.57 10 2023 10 2023  
 247 IPTER     4.17 11 2023 11 2023  
 247 GTMIN    33.63 11 2023 11 2023  
 247 IPTER     2.42 12 2023 12 2023  
 247 GTMIN    34.24 12 2023 12 2023  
 247 IPTER     0.00  1 2024  1 2024  
 247 GTMIN    34.57  1 2024  1 2024  
 247 IPTER     5.17  2 2024  2 2024  
 247 GTMIN    33.28  2 2024  2 2024  
 247 IPTER     1.61  3 2024  3 2024  
 247 GTMIN    34.52  3 2024  3 2024  
 247 IPTER     0.00  4 2024  4 2024  
 247 GTMIN    34.57  4 2024  4 2024  
 247 IPTER    13.71  5 2024  5 2024  
 247 GTMIN    30.28  5 2024  5 2024  
 247 IPTER    14.17  6 2024  6 2024  
 247 GTMIN    30.12  6 2024  6 2024  
 247 IPTER    13.71  7 2024  7 2024  
 247 GTMIN    30.28  7 2024  7 2024  
 247 IPTER    10.48  8 2024  8 2024  
 247 GTMIN    31.41  8 2024  8 2024  
 247 IPTER     6.67  9 2024  9 2024  
 247 GTMIN    32.75  9 2024  9 2024  
 247 IPTER     1.61 10 2024 10 2024  
 247 GTMIN    34.52 10 2024 10 2024  
 247 IPTER     2.50 11 2024 11 2024  
 247 GTMIN    34.21 11 2024 11 2024  
 247 IPTER     2.42 12 2024 12 2024  
 247 GTMIN    34.24 12 2024 12 2024  
 247 IPTER     3.23  1 2025  1 2025  
 247 GTMIN    33.96  1 2025  1 2025  
 247 IPTER     1.79  2 2025  2 2025  
 247 GTMIN    34.46  2 2025  2 2025  
 247 IPTER     1.61  3 2025  3 2025  
 247 GTMIN    34.52  3 2025  3 2025  
 247 IPTER     4.17  4 2025  4 2025  
 247 GTMIN    33.63  4 2025  4 2025  
 247 IPTER     2.42  5 2025  5 2025  
 247 GTMIN    34.24  5 2025  5 2025  
