EMPRESA          COD USINA           UNTDDMMAAAA DUR.    POT.
XXAAAAAAAAAAA    XXXAAAAAAAAAAAAA    XXAXXXXXXXX XXX   XXXX.XX
68PETROBRAS       64CANOAS            2 30112022  15     88.00
24ENGIE BRASI     26J.LACERDA A1      2 16102022  50     50.00
24ENGIE BRASI     27J.LACERDA A2      1 01082022  13     66.00
26PAMPA SUL      107PAMPA SUL         1 01122022  10    345.00
30S FRANCISCO    166AREMBEPE          1 01102022  20     40.00
30S FRANCISCO    166AREMBEPE          1 01122022   3     40.00
30S FRANCISCO    166AREMBEPE          2 01112022  20     30.00
30S FRANCISCO    166AREMBEPE          2 01122022   3     30.00
26ERB ARATING    106ERB CANDEIAS      1 01102022   7     16.79
17CANDEIAS        53GLOBAL I          2 01082022  20     34.72
17CANDEIAS        53GLOBAL I          2 01122022   3     34.72
17CANDEIAS        53GLOBAL I          4 01082022  10     44.64
17CANDEIAS        53GLOBAL I          4 01092022  20     44.64
17CANDEIAS        55GLOBAL II         1 01092022  20     34.72
17CANDEIAS        55GLOBAL II         1 01102022  23     34.72
17CANDEIAS        55GLOBAL II         1 01112022  20     34.72
17CANDEIAS        55GLOBAL II         1 01122022  20     34.72
17CANDEIAS        55GLOBAL II         2 01082022  20     34.72
17CANDEIAS        55GLOBAL II         2 01122022  20     34.72
17CANDEIAS        55GLOBAL II         3 01092022  20     34.72
17CANDEIAS        55GLOBAL II         3 01102022  20     34.72
17CANDEIAS        55GLOBAL II         3 01112022  20     34.72
17CANDEIAS        55GLOBAL II         4 01092022  10     44.64
17CANDEIAS        55GLOBAL II         4 01112022   3     44.64
24MARACANAU       57MARACANAU I       5 01082022  30     21.00
30S FRANCISCO    164MURICY            5 01122022   3     18.27
11PETROLINA      144PETROLINA         1 10092022   1     17.03
11PETROLINA      144PETROLINA         1 12112022   1     17.03
11PETROLINA      144PETROLINA         2 18092022   1     17.03
11PETROLINA      144PETROLINA         2 13112022   1     17.03
11PETROLINA      144PETROLINA         3 25092022   1     17.03
11PETROLINA      144PETROLINA         3 19112022   1     17.03
11PETROLINA      144PETROLINA         4 24092022   1     17.03
11PETROLINA      144PETROLINA         4 20112022   1     17.03
11PETROLINA      144PETROLINA         5 09102022   1     17.03
11PETROLINA      144PETROLINA         6 01082022  17     17.03
11PETROLINA      144PETROLINA         6 16102022   1     17.03
11PETROLINA      144PETROLINA         7 15102022   1     17.03
11PETROLINA      144PETROLINA         7 17122022   1     17.03
11PETROLINA      144PETROLINA         8 17092022   1     17.03
11PETROLINA      144PETROLINA         8 23102022   1     17.03
22CEP            151POTIGUAR          1 01092022   2     13.28
22CEP            151POTIGUAR          1 01112022   2     13.28
22CEP            151POTIGUAR          2 01092022   2     13.28
22CEP            151POTIGUAR          2 01112022   2     13.28
22CEP            151POTIGUAR          3 01092022   2     13.28
22CEP            151POTIGUAR          3 01112022   2     13.28
22CEP            151POTIGUAR          4 01092022   2     13.28
22CEP            151POTIGUAR          4 01112022   2     13.28
22CEP            161POTIGUAR III      1 01092022   3     11.62
22CEP            161POTIGUAR III      1 01112022   3     11.62
22CEP            161POTIGUAR III      2 01092022   3     11.62
22CEP            161POTIGUAR III      2 01112022   3     11.62
22CEP            161POTIGUAR III      3 01092022   3     11.62
22CEP            161POTIGUAR III      3 01112022   3     11.62
22CEP            161POTIGUAR III      4 01092022   3      9.96
22CEP            161POTIGUAR III      4 01112022   3      9.96
22CEP            161POTIGUAR III      5 01092022   3     11.62
22CEP            161POTIGUAR III      5 01112022   3     11.62
22CEP            161POTIGUAR III      6 01092022   3      9.96
22CEP            161POTIGUAR III      6 01112022   3      9.96
21SUAPE II       170SUAPE II          1 01082022   2     22.43
21SUAPE II       170SUAPE II          1 01092022  48     22.43
21SUAPE II       170SUAPE II          1 01112022   2     22.43
21SUAPE II       170SUAPE II          1 01122022   2     22.43
21SUAPE II       170SUAPE II          2 01082022   2     22.43
21SUAPE II       170SUAPE II          2 01092022   2     22.43
21SUAPE II       170SUAPE II          2 01102022   2     22.43
21SUAPE II       170SUAPE II          2 01112022   2     22.43
21SUAPE II       170SUAPE II          2 01122022  31     22.43
21SUAPE II       170SUAPE II          3 01082022   7     22.43
21SUAPE II       170SUAPE II          3 01092022   2     22.43
21SUAPE II       170SUAPE II          3 01102022   2     22.43
21SUAPE II       170SUAPE II          3 01112022   2     22.43
21SUAPE II       170SUAPE II          3 01122022   2     22.43
21SUAPE II       170SUAPE II          4 01082022   2     22.43
21SUAPE II       170SUAPE II          4 01092022   2     22.43
21SUAPE II       170SUAPE II          4 01102022   2     22.43
21SUAPE II       170SUAPE II          4 01112022   2     22.43
21SUAPE II       170SUAPE II          4 01122022  31     22.43
21SUAPE II       170SUAPE II          5 01082022   2     22.43
21SUAPE II       170SUAPE II          5 01092022   2     22.43
21SUAPE II       170SUAPE II          5 01102022   2     22.43
21SUAPE II       170SUAPE II          5 01112022   2     22.43
21SUAPE II       170SUAPE II          5 01122022   2     22.43
21SUAPE II       170SUAPE II          6 01082022   2     22.43
21SUAPE II       170SUAPE II          6 01092022   2     22.43
21SUAPE II       170SUAPE II          6 01102022  48     22.43
21SUAPE II       170SUAPE II          6 01122022   2     22.43
21SUAPE II       170SUAPE II          7 01082022   2     22.43
21SUAPE II       170SUAPE II          7 01092022   2     22.43
21SUAPE II       170SUAPE II          7 01102022   2     22.43
21SUAPE II       170SUAPE II          7 01112022   2     22.43
