 NUM  NOME         POSTO JUS   REE V.INIC U.EXIS MODIF INIC.HIST FIM HIST
 XXXX XXXXXXXXXXXX XXXX  XXXX XXXX XXX.XX XXXX   XXXX     XXXX     XXXX
   26 MIRANDA       206    27   10  78.27   EX      0     1931     2013
   30 CORUMBA I     209    31   10  93.80   EX      0     1931     2013
   31 ITUMBIARA      31    32   10  79.10   EX      0     1931     2013
   32 CACH.DOURADA   32    33   10   0.00   EX      0     1931     2013
   33 SAO SIMAO      33    34   10  41.90   EX      0     1931     2013
   37 BARRA BONITA   37    38   10  84.90   EX      0     1931     2013
   38 A.S. LIMA      38    39   10   0.00   EX      0     1931     2013
   39 IBITINGA       39    40   10   0.00   EX      0     1931     2013
   40 PROMISSAO      40    42   10  57.30   EX      0     1931     2013
   42 NAVANHANDAVA   42    43   10   0.00   EX      0     1931     2013
   43 TRES IRMAOS    43    45   10  51.76   EX      0     1931     2013
   45 JUPIA          45    46   10   0.00   EX      0     1931     2013
   46 P. PRIMAVERA   46    66   10   0.00   EX      0     1931     2013
  278 MANSO         278     0    1  88.05   EX      0     1931     2013
   47 A.A. LAYDNER   47    48   12  53.84   EX      0     1931     2013
   49 CHAVANTES      49   249   12  50.17   EX      0     1931     2013
   50 L.N. GARCEZ    50    51   12   0.00   EX      0     1931     2013
   51 CANOAS II      51    52   12   0.00   EX      0     1931     2013
   52 CANOAS I       52    61   12   0.00   EX      0     1931     2013
   61 CAPIVARA       61    62   12  43.38   EX      0     1931     2013
   62 TAQUARUCU      62    63   12   0.00   EX      0     1931     2013
   63 ROSANA         63    66   12   0.00   EX      0     1931     2013
   57 MAUA           57     0   11  71.50   EX      0     1931     2013
   71 STA CLARA PR   71    72   11  93.30   EX      0     1931     2013
   72 FUNDAO         72    73   11   0.00   EX      0     1931     2013
   74 G.B. MUNHOZ    74    76   11  99.00   EX      0     1931     2013
   83 BAIXO IGUACU   81     0   11   0.00   EX      0     1931     2013
   86 BARRA GRANDE  215    91    2  95.74   EX      0     1931     2013
   89 GARIBALDI      89    90    2  46.98   EX      0     1931     2013
   90 CAMPOS NOVOS  216    91    2  93.00   EX      0     1931     2013
   91 MACHADINHO    217    92    2  93.30   EX      0     1931     2013
   92 ITA            92   103    2   0.00   EX      0     1931     2013
   93 PASSO FUNDO    93    94    2  62.79   EX      0     1931     2013
   94 MONJOLINHO    220   103    2   0.00   EX      0     1931     2013
   95 QUEBRA QUEIX  286     0    2  48.66   EX      0     1931     2013
  101 SAO JOSE      102   102    2   0.00   EX      0     1931     2013
  102 PASSO S JOAO  103     0    2   0.00   EX      0     1931     2013
  103 FOZ CHAPECO    94     0    2   0.00   EX      0     1931     2013
   97 CASTRO ALVES   98    98    2   0.00   EX      0     1931     2013
   98 MONTE CLARO    97    99    2   0.00   EX      0     1931     2013
   99 14 DE JULHO   284     0    2   0.00   EX      0     1931     2013
  110 ERNESTINA     110   111    2 100.00   EX      0     1931     2013
  111 PASSO REAL    111   112    2  70.69   EX      0     1931     2013
  112 JACUI         112   113    2   0.00   EX      0     1931     2013
  113 ITAUBA        113   114    2   0.00   EX      0     1931     2013
  114 D. FRANCISCA  114     0    2   0.00   EX      0     1931     2013
  115 G.P. SOUZA    115     0    2  53.20   EX      0     1931     2013
  215 SALTO PILAO   101     0    2   0.00   EX      0     1931     2013
   73 JORDAO         70    77   11 100.00   EX      0     1931     2013
   76 SEGREDO        75    77   11  94.30   EX      0     1931     2013
   77 SLT.SANTIAGO   77    78   11  91.95   EX      0     1931     2013
   78 SALTO OSORIO   78    82   11   0.00   EX      0     1931     2013
   82 SALTO CAXIAS  222    83   11   0.00   EX      0     1931     2013
  169 SOBRADINHO    169   172    3 100.00   EX      0     1931     2013
  172 ITAPARICA     172   176    3  98.06   EX      0     1931     2013
  176 COMP PAF-MOX  176   178    3   0.00   EX      0     1931     2013
  178 XINGO         178     0    3   0.00   EX      0     1931     2013
  294 FICT.QUEIMAD  158   169    3  92.49   EX      0     1931     2013
  295 FICT.TRES MA  156   169    3  84.32   EX      0     1931     2013
  308 FICT.RETIRO   155   295    3  58.46   EX      0     1931     2013
  154 ITAPEBI       188     0    3   0.00   EX      0     1931     2013
  298 FICT.IRAPE    255   154    3  88.87   EX      0     1931     2013
  189 P. CAVALO     254     0    3 100.00   EX      0     1931     2013
  190 B. ESPERANCA  190     0    3  97.28   EX      0     1931     2013
  204 CACH.CALDEIR  204   280    9   0.00   EX      0     1931     2013
  267 ESTREITO TOC  271   275    4   0.00   EX      0     1931     2013
  275 TUCURUI       275     0    4  99.31   EX      0     1931     2013
  277 BALBINA       269     0    9 100.00   EX      0     1931     2013
  280 COARACY NUNE  280   284    9   0.00   EX      0     1931     2013
  284 FERREIRA GOM  297     0    9   0.00   EX      0     1931     2013
  286 STO ANT JARI  290     0    9   0.00   EX      0     1931     2013
  291 FICT.SERRA M  270   292    4 100.00   EX      0     1931     2013
  292 FICT.CANA BR  191   306    4   0.00   EX      0     1931     2013
  302 FICT.LAJEADO  273   267    4   0.00   EX      0     1931     2013
  303 FICT.PEIXE A  257   302    4  78.20   EX      0     1931     2013
  306 FICT.SAO SAL  253   303    4   0.00   EX      0     1931     2013
  314 PIMENTAL      302     0    8   0.00   EX      0     1931     2013
  288 BELO MONTE    292     0    8   0.00   EX      0     1931     2013
