 POST        USINA       JAN       FEV       MAR       ABR       MAI       JUN       JUL       AGO       SET       OUT       NOV       DEZ
 XXXX XXXXXXXXXXXX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX
MESPLAN =    6     ANOPLAN = 2022
   66               12039.00  14823.00  11021.00   9359.00   6670.00   5336.00   4415.00   3907.00   3783.00   8370.00   7810.00   7781.00
   70                  10.00     10.00     10.00     17.00     10.00     10.00     10.00     10.00     10.00     29.00     10.00     10.00
   71                  28.00     33.00     71.00    138.00    125.00     28.00     27.00     40.00     32.00    151.00     61.00     22.00
   72                  30.00     35.00     77.00    148.00    133.00     30.00     30.00     42.00     36.00    161.00     65.00     24.00
   73                  38.00     43.00     99.00    190.00    166.00     38.00     41.00     51.00     51.00    202.00     82.00     31.00
   74                 291.00    295.00    653.00    750.00    762.00    256.00    285.00    210.00    317.00    852.00    397.00    148.00
   75                 357.00    376.00    847.00   1139.00   1092.00    319.00    381.00    296.00    437.00   1229.00    563.00    210.00
   76                 329.00    343.00    758.00    965.00    936.00    291.00    350.00    255.00    396.00   1055.00    491.00    189.00
   77                 375.00    406.00    926.00   1369.00   1298.00    343.00    414.00    325.00    484.00   1469.00    645.00    238.00
   78                 375.00    415.00    948.00   1452.00   1382.00    345.00    426.00    332.00    498.00   1546.00    680.00    246.00
   80                   7.00     10.00     42.00    124.00    108.00     11.00     10.00     11.00     22.00    124.00     37.00     10.00
   81                 417.00    473.00   1195.00   2184.00   1996.00    410.00    488.00    394.00    630.00   2277.00    902.00    304.00
   83                   8.00     10.00     45.00    132.00    116.00     12.00     11.00     11.00     24.00    133.00     39.00     10.00
   85                  39.00     22.00    111.00    124.00    424.00    171.00     86.00     54.00    251.00    172.00     57.00     29.00
   88                  74.00     69.00    183.00    178.00    686.00    146.00    106.00     37.00    232.00    280.00    148.00     74.00
   89                  91.00     81.00    215.00    191.00    798.00    184.00    152.00     64.00    288.00    342.00    183.00     90.00
   92                 210.00    196.00    703.00   1009.00   2551.00    837.00    583.00    297.00   1199.00   1285.00    468.00    225.00
   93                   5.00      5.00     20.00     80.00    113.00     70.00     43.00     19.00     57.00     92.00     25.00      6.00
   94                 249.00    242.00    803.00   1391.00   3248.00   1027.00    800.00    409.00   1415.00   1746.00    596.00    285.00
   97                  47.00     33.00     78.00    148.00    653.00    358.00    153.00    121.00    377.00    310.00     99.00     45.00
   98                  39.00     25.00     53.00     86.00    412.00    247.00     98.00     78.00    266.00    202.00     68.00     33.00
   99                  68.00     75.00     65.00     58.00     47.00     48.00     45.00     45.00     44.00     54.00     64.00     63.00
  100                   5.00      6.00      6.00      5.00      4.00      4.00      4.00      3.00      4.00      5.00      5.00      5.00
  101                  41.00     32.00    109.00     55.00    217.00    123.00     64.00     31.00    114.00    141.00     81.00     33.00
  102                  38.00     29.00    105.00    393.00    546.00    285.00    168.00    150.00    264.00    334.00    118.00     58.00
  103                  40.00     30.00    108.00    401.00    575.00    293.00    179.00    155.00    275.00    346.00    123.00     60.00
  104                  80.00     51.00     66.00     48.00     30.00     30.00     28.00     31.00     29.00     45.00     37.00     53.00
  109                  43.00     23.00     33.00     26.00     14.00     13.00     12.00     14.00     13.00     24.00     18.00     30.00
  110                  12.00     15.00     18.00     39.00     88.00     49.00     32.00     27.00     47.00     45.00     20.00     11.00
  111                  28.00     31.00     69.00    219.00    524.00    274.00    154.00    172.00    226.00    250.00    100.00     43.00
  112                  28.00     32.00     69.00    220.00    529.00    278.00    155.00    174.00    229.00    251.00    101.00     44.00
  113                  31.00     35.00     79.00    267.00    657.00    367.00    180.00    227.00    303.00    285.00    111.00     49.00
  114                  34.00     38.00     90.00    321.00    799.00    465.00    205.00    287.00    387.00    322.00    122.00     55.00
  115                  25.00     19.00     15.00     12.00      8.00     14.00     14.00     17.00     14.00     17.00     16.00     15.00
  116                  10.00      5.00      7.00      6.00      3.00      3.00      2.00      3.00      3.00      6.00      4.00      7.00
  117                  37.00     28.00     33.00     22.00     16.00     17.00     16.00     17.00     16.00     21.00     19.00     23.00
