dates;SE;S;NE;N
1939-08-01;14957.18;4312.47;3113.64;3554.25
1939-09-01;13479.47;9969.05;2895.7;2336.22
1939-10-01;15944.41;5947.14;3745.43;3135.14
1939-11-01;28888.76;14608;3211.65;5031.16
1939-12-01;44943.11;20680.38;5097.28;8765.46
1940-01-01;66611.91;10353.39;9516.12;17267.45
1940-02-01;89836.32;7256.19;14446.91;30070.72
1940-03-01;86065.41;4142.78;20003.18;36585.8
1940-04-01;53623.6;8077.06;14554.79;33080.21
1940-05-01;40808.57;8264.22;6256.49;24158.02
1940-06-01;30230.63;5459.33;4443.37;16634.67
1940-07-01;23915.59;6097.01;3549.07;6979.63
1940-08-01;20440.51;8066.71;3182.7;4184.58
1940-09-01;18171.68;4720.94;2632.02;2911.71
1940-10-01;18051.52;7445.41;2807.58;2959.44
1940-11-01;35958.96;4265.76;5816.67;5813.28
1940-12-01;42589.54;6400.62;12194.17;9903
1941-01-01;57768.53;6506.02;14323.92;15741.45
1941-02-01;51924.83;12139.34;14191.17;18104.71
1941-03-01;55675.83;7194.67;14649.62;24352.18
1941-04-01;50890.02;7850.72;14601.29;27751.79
1941-05-01;32498.28;16938.95;9225.49;17596.1
1941-06-01;25662.67;12523.33;5085.41;9068.23
1941-07-01;21683.02;8446.4;4250.41;4577.54
1941-08-01;19828.61;16893.56;3845.74;2939.72
1941-09-01;21713.73;9580.98;3071.86;2030.02
1941-10-01;27436.9;9466.99;3255.41;3133.53
1941-11-01;34152.24;12082.32;4913.82;6080.41
1941-12-01;49709.1;9282.68;7124.33;10361.38
1942-01-01;56153.95;4548.39;13905.24;13209.52
1942-02-01;66651.63;10318.9;14116.02;22477.58
1942-03-01;78414.4;8007.3;15239.27;29421.74
1942-04-01;61039.18;10552.17;10873.14;23891.55
1942-05-01;43521.43;11074.82;7064.04;18123.96
1942-06-01;40749.44;8935.89;4665.94;10685.27
1942-07-01;30729.73;8408.67;3910.2;5925.49
1942-08-01;21317.23;7889.81;3410.7;3484.94
1942-09-01;21127.82;6310.72;3057.18;2434.66
1942-10-01;23646.27;7575.51;3946.79;3829.65
1942-11-01;32255.38;2986.07;6664.43;6998.01
1942-12-01;47728.72;2261.07;16527.62;14500.02
1943-01-01;90180.67;2067.51;18835.88;33289.96
1943-02-01;86034.45;3469.28;26635.61;40570.5
1943-03-01;84648.89;2611.61;25141.79;38492.08
1943-04-01;56137.93;1684.38;16160.19;27948.21
1943-05-01;38270.54;3233.96;8956.81;20774.47
1943-06-01;31853.79;11293.21;6318.86;10435.63
1943-07-01;23903.19;7885.66;5310.92;6625.92
1943-08-01;18838.12;12915.52;4516.55;4533.91
1943-09-01;17244.85;10917.56;3892.74;2700.11
1943-10-01;27137.52;8299.18;4015.5;3457.74
1943-11-01;38960.51;5087.63;6515.87;6477.23
1943-12-01;49374.95;2921.66;16226.59;13460.07
1944-01-01;45983.9;6165.59;18751.58;16061.11
1944-02-01;61913.02;3398.95;15209.41;22178.4
1944-03-01;68161.81;6796.82;14936.2;25087.35
1944-04-01;46797.33;3083.58;11677.51;27210.22
1944-05-01;31598.04;1592.08;7791.59;21155.88
1944-06-01;23500.65;2837.3;5222.21;10750.08
