 PATAMAR DE DEFICIT
 NUMERO DE PATAMARES DE DEFICIT
 XXX
   1
 CUSTO DO DEFICIT
 NUM|NOME SSIS.|    CUSTO DE DEFICIT POR PATAMAR  | P.U. CORTE POR PATAMAR|
 XXX|XXXXXXXXXX| F|XXXX.XX XXXX.XX XXXX.XX XXXX.XX|X.XXX X.XXX X.XXX X.XXX|
 1   SUDESTE     0 7643.82 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 2   SUL         0 7643.82 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 3   NORDESTE    0 7643.82 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 4   NORTE       0 7643.82 0000.00 0000.00 0000.00 1.000 0.000 0.000 0.000
 11  NOFICT1     1
 999
 LIMITES DE INTERCAMBIO
 A   B   A->B    B->A
 XXX XXX XJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
2024     7200.   7200.   7200.   7200.   7200.   7200.   7989.   7983.   7949.   7955.   7906.   7906.
2025     7909.   7910.   7904.   7944.   7977.   7975.   7989.   7977.   7954.   7955.   7906.   7909.
2026     7906.   7907.   7909.   9100.   9100.   9100.   9100.   9100.   9100.   9100.   9100.   9100.
   1   4               0
2022                                             2500.   2500.   2500.   2500.   2500.   4200.   4200.
2023     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2024     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2025     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
2026     4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.   4200.
  
2022                                             4773.   4267.   3000.   3000.   3000.   6611.   7618.
2023     8000.   8000.   8000.   8000.   8000.   8000.   6669.   5686.   5639.   5641.   6611.   7608.
2024     8000.   8000.   8000.   8000.   8000.   8000.   6686.   5677.   5646.   5655.   6611.   7613.
2025     8000.   8000.   8000.   8000.   8000.   8000.   6686.   5669.   5653.   5655.   6611.   7618.
2026     8000.   8000.   8000.   8000.   8000.   8000.   6686.   5669.   5646.   5641.   6611.   7618.
 999
 MERCADO DE ENERGIA TOTAL
 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1
2022                                            38256.  37920.  38759.  40115.  41110.  40460.  40438.
2023    43717.  44037.  43754.  42516.  40267.  39466.  39120.  39986.  41384.  42411.  41741.  41718.
2024    45051.  45381.  45089.  43814.  41496.  40639.  40282.  41185.  42647.  43706.  43015.  42991.
